Product_Id,Title,Price,Discount
MNTGE19372AW23BRN,Brown LIVA Straight Printed KurtaBrown LIVA Straight Printed Kurta,"₹1,399",30% OFF
COLORPO19315SS23PNK,Pink Cotton Straight Embroidered KurtaPink Cotton Straight Embroidered Kurta,"₹2,099",30% OFF
ASRTD19754AW23NVY,Navy LIVA Straight Printed KurtaNavy LIVA Straight Printed Kurta,₹909,30% OFF
JAMAWAR20167SS24BLU,Blue Viscose Straight KurtaBlue Viscose Straight Kurta,"MRP₹1,799",
ASSORTED20018SS24TEAL,Teal Cotton Straight KurtaTeal Cotton Straight Kurta,"MRP₹1,599",
JAMAWAR20171SS24BRN,Brown Viscose Straight KurtaBrown Viscose Straight Kurta,"MRP₹1,799",
TOPSTUNICS20217SS24BRN,Brown Rayon Straight KurtiBrown Rayon Straight Kurti,"MRP₹1,599",
ASSORTED20616SS24MRN,Maroon Rayon Straight KurtaMaroon Rayon Straight Kurta,"MRP₹1,299",
CHINTZPOP20226SS24OWHT,Off White Cotton Straight KurtaOff White Cotton Straight Kurta,"MRP₹1,599",
RHNI19565AW23FUS,Deep Fuchsia LIVA Straight Printed KurtiDeep Fuchsia LIVA Straight Printed Kurti,₹909,30% OFF
TOPSTUNICS20204SS24BLU,Blue Rayon Straight KurtiBlue Rayon Straight Kurti,"MRP₹1,599",
JAMAWAR20170SS24NVY,Navy Viscose Straight KurtiNavy Viscose Straight Kurti,"MRP₹1,599",
TOPSTUNICS20206SS24BLK,Black Rayon Straight KurtiBlack Rayon Straight Kurti,"MRP₹1,299",
SNGNRPTCHWRK20157SS24FUS,Fuchsia Viscose Straight KurtiFuchsia Viscose Straight Kurti,"MRP₹1,599",
ASSORTED20405SS24YELTEAL,Yellow Teal Polyester Straight KurtaYellow Teal Polyester Straight Kurta,"MRP₹1,999",
CHINTZPOP20228SS24OWHT,Off White Cotton Straight KurtiOff White Cotton Straight Kurti,"MRP₹1,599",
TOPSTUNICS20193SS24PNK,Pink Rayon Straight KurtaPink Rayon Straight Kurta,"MRP₹1,599",
TOPSTUNICS20208SS24RED,Red Rayon Straight KurtiRed Rayon Straight Kurti,"MRP₹1,299",
TOPSSTUNICS20191SS24GRN,Green Rayon Straight ShirtGreen Rayon Straight Shirt,"MRP₹1,299",
ASSORTED20549SS24RED,Red Rayon Straight KurtiRed Rayon Straight Kurti,"MRP₹1,299",
IKKAT19604AW23FUS,Fuchsia Ikat Straight Yarndyed ShirtFuchsia Ikat Straight Yarndyed Shirt,"₹1,399",30% OFF
SUMMERSTPLS20260SS24WHT,White Rayon Straight KurtaWhite Rayon Straight Kurta,"MRP₹2,999",
BOHOSTORY20139SS24LILAC,Lilac Rayon Straight KurtaLilac Rayon Straight Kurta,"MRP₹1,599",
ASSORTED20615SS24RED,Red Rayon Straight KurtaRed Rayon Straight Kurta,"MRP₹1,299",
CHINTZPOP20228SS24YEL,Yellow Rayon Straight KurtiYellow Rayon Straight Kurti,"MRP₹1,599",
ASRTD19765AW23YEL,Yellow LIVA Straight Printed KurtaYellow LIVA Straight Printed Kurta,₹909,30% OFF
FESTIVE20464SS24YEL,Yellow Cotton Straight KurtaYellow Cotton Straight Kurta,"MRP₹1,999",
BOHOSTORY20138SS24YEL,Yellow Cotton Straight KurtaYellow Cotton Straight Kurta,"MRP₹1,799",
ASRTD19002SS23PNK,Pink LIVA Straight Printed KurtaPink LIVA Straight Printed Kurta,"₹1,259",30% OFF
FESTIVE20086SS24RED,Red Cotton Straight KurtaRed Cotton Straight Kurta,"MRP₹1,999",
BOHOSTORY20141SS24YEL,Yellow Rayon Straight KurtiYellow Rayon Straight Kurti,"MRP₹1,999",
ASSORTED20347SS24WHT,White Cotton Straight KurtaWhite Cotton Straight Kurta,"MRP₹2,599",
CHINTZPOP20227SS24PBLU,Powder Blue Cotton Straight KurtaPowder Blue Cotton Straight Kurta,"MRP₹1,999",
AZUL20462SS24DULLPNK,Dull Pink Rayon Straight KurtaDull Pink Rayon Straight Kurta,"MRP₹1,299",
CREPEKURTI20368SS24IND,Indigo Polyester Straight KurtiIndigo Polyester Straight Kurti,"MRP₹1,299",
NOOR20186SS24PNK,Pink Cotton Straight KurtaPink Cotton Straight Kurta,"MRP₹1,599",
